airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,cl_alpha_slope,stall_angle,cl_at_stall
2032c-il,xf-2032c-il-100000,100000.0,0.0796,0.2,18.0,18.0,1.5434,9.25,0.1110237408463885,11.25,1.4801
2032c-il,xf-2032c-il-1000000,1000000.0,0.0796,0.2,18.0,18.0,1.6135,10.75,0.1097926268321771,13.0,1.5334
2032c-il,xf-2032c-il-200000,200000.0,0.0796,0.2,18.0,18.0,1.5265,9.75,0.1068101215221824,12.0,1.4523
2032c-il,xf-2032c-il-50000,50000.0,0.0796,0.2,18.0,18.0,1.2002,6.0,0.1189053122058113,6.25,1.1521
2032c-il,xf-2032c-il-500000,500000.0,0.0796,0.2,18.0,18.0,1.531,9.25,0.1079319643945219,12.5,1.4858
a18-il,xf-a18-il-100000,100000.0,0.07345,0.3,0.050365,0.45,1.2996,9.0,0.1066627392913801,9.25,1.2537
a18-il,xf-a18-il-1000000,1000000.0,0.07345,0.3,0.050365,0.45,1.5052,10.75,0.0999484975611605,12.0,1.4465
a18-il,xf-a18-il-200000,200000.0,0.07345,0.3,0.050365,0.45,1.3349,9.0,0.1069306715063521,9.0,1.3349
a18-il,xf-a18-il-50000,50000.0,0.07345,0.3,0.050365,0.45,1.2563,8.0,0.1092103893754171,9.25,1.2265
a18-il,xf-a18-il-500000,500000.0,0.07345,0.3,0.050365,0.45,1.3976,9.5,0.0967091543502011,10.25,1.3705
a18sm-il,xf-a18sm-il-100000,100000.0,0.07283,0.271,0.03842,0.493,1.3009,9.5,0.1162734003172924,10.25,1.3003
a18sm-il,xf-a18sm-il-1000000,1000000.0,0.07283,0.271,0.03842,0.493,1.5371,12.75,0.1034792853797256,15.0,1.4614
a18sm-il,xf-a18sm-il-200000,200000.0,0.07283,0.271,0.03842,0.493,1.3524,10.0,0.1110799576943416,10.5,1.3004
a18sm-il,xf-a18sm-il-50000,50000.0,0.07283,0.271,0.03842,0.493,1.2711,9.0,0.1183623479640402,10.25,1.2397
a18sm-il,xf-a18sm-il-500000,500000.0,0.07283,0.271,0.03842,0.493,1.4323,11.0,0.1029306821787414,12.5,1.376
a63a108c-il,xf-a63a108c-il-100000,100000.0,0.07735,0.3,50.0,50.0,0.842,8.0,0.1066345743145743,8.0,0.842
a63a108c-il,xf-a63a108c-il-1000000,1000000.0,0.07735,0.3,50.0,50.0,1.4171,14.0,0.1123920237497543,15.5,1.3635
a63a108c-il,xf-a63a108c-il-50000,50000.0,0.07735,0.3,50.0,50.0,0.7824,7.5,0.1048752459280761,7.5,0.7824
a63a108c-il,xf-a63a108c-il-500000,500000.0,0.07735,0.3,50.0,50.0,1.2015,12.0,0.1100509148598625,12.75,1.1631
ag03-il,xf-ag03-il-100000,100000.0,0.046692,0.065,0.051173,0.281,1.088,9.25,0.1066271059052025,10.5,1.0353
ag03-il,xf-ag03-il-1000000,1000000.0,0.046692,0.065,0.051173,0.281,1.3785,12.25,0.107031720983419,13.5,1.3202
ag03-il,xf-ag03-il-200000,200000.0,0.046692,0.065,0.051173,0.281,1.149,10.25,0.1068319830777366,11.0,1.1093
ag03-il,xf-ag03-il-50000,50000.0,0.046692,0.065,0.051173,0.281,1.0089,8.5,0.1025883539942785,9.75,0.9613
ag03-il,xf-ag03-il-500000,500000.0,0.046692,0.065,0.051173,0.281,1.2897,11.25,0.1078903943244391,12.25,1.2359
ag04-il,xf-ag04-il-100000,100000.0,0.051408,0.076,0.04818,0.281,1.0345,9.0,0.1037401586462189,10.0,0.9961
ag04-il,xf-ag04-il-1000000,1000000.0,0.051408,0.076,0.04818,0.281,1.3072,11.25,0.1084865467434647,12.5,1.2506
ag04-il,xf-ag04-il-200000,200000.0,0.051408,0.076,0.04818,0.281,1.0925,9.5,0.1053825066102591,10.25,1.0478
ag04-il,xf-ag04-il-50000,50000.0,0.051408,0.076,0.04818,0.281,0.9861,8.5,0.105470227936879,9.0,0.9829
ag04-il,xf-ag04-il-500000,500000.0,0.051408,0.076,0.04818,0.281,1.185,10.5,0.107095146905792,11.5,1.1346
ag08-il,xf-ag08-il-100000,100000.0,0.0515189999999999,0.095,0.045408,0.28,1.0149,8.75,0.0998327234267583,9.25,0.976
ag08-il,xf-ag08-il-1000000,1000000.0,0.0515189999999999,0.095,0.045408,0.28,1.2103,10.5,0.1078835325224749,11.75,1.1588
ag08-il,xf-ag08-il-50000,50000.0,0.0515189999999999,0.095,0.045408,0.28,0.964,8.25,0.1061695038297087,9.0,0.959
ag08-il,xf-ag08-il-500000,500000.0,0.0515189999999999,0.095,0.045408,0.28,1.1148,9.5,0.1055934108510028,10.25,1.0765
ag09-il,xf-ag09-il-100000,100000.0,0.04588,0.1,0.041657,0.258,0.983,8.5,0.1053056322864437,9.0,0.9793
ag09-il,xf-ag09-il-1000000,1000000.0,0.04588,0.1,0.041657,0.258,1.1842,10.0,0.1073640765314721,11.0,1.1281
ag10-il,xf-ag10-il-100000,100000.0,0.045365,0.1,0.039188,0.234,0.9751,8.25,0.1048952351656464,8.75,0.9515
ag10-il,xf-ag10-il-1000000,1000000.0,0.045365,0.1,0.039188,0.234,1.2365,11.0,0.1088085245901639,11.75,1.1914
