airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,cl_alpha_slope
2032c-il,xf-2032c-il-100000,100000.0,0.0796,0.2,18.0,18.0,1.5434,9.25,0.11102374084638857
2032c-il,xf-2032c-il-100000-n5,100000.0,0.0796,0.2,18.0,18.0,1.4859,8.25,0.10310469408047547
2032c-il,xf-2032c-il-1000000,1000000.0,0.0796,0.2,18.0,18.0,1.6135,10.75,0.1097926268321771
2032c-il,xf-2032c-il-1000000-n5,1000000.0,0.0796,0.2,18.0,18.0,1.7197,11.75,0.10570427443917436
2032c-il,xf-2032c-il-200000,200000.0,0.0796,0.2,18.0,18.0,1.5265,9.75,0.10681012152218242
2032c-il,xf-2032c-il-200000-n5,200000.0,0.0796,0.2,18.0,18.0,1.5165,9.25,0.10564206252289657
2032c-il,xf-2032c-il-50000,50000.0,0.0796,0.2,18.0,18.0,1.2002,6.0,0.11890531220581138
2032c-il,xf-2032c-il-50000-n5,50000.0,0.0796,0.2,18.0,18.0,1.4869,9.25,0.10667397427869219
2032c-il,xf-2032c-il-500000,500000.0,0.0796,0.2,18.0,18.0,1.531,9.25,0.10793196439452199
2032c-il,xf-2032c-il-500000-n5,500000.0,0.0796,0.2,18.0,18.0,1.5959,9.75,0.10721707940931798
a18-il,xf-a18-il-100000,100000.0,0.07345,0.3,0.050365,0.45,1.2996,9.0,0.10666273929138018
a18-il,xf-a18-il-100000-n5,100000.0,0.07345,0.3,0.050365,0.45,1.3,9.0,0.09847805393971445
a18-il,xf-a18-il-1000000,1000000.0,0.07345,0.3,0.050365,0.45,1.5052,10.75,0.09994849756116056
a18-il,xf-a18-il-1000000-n5,1000000.0,0.07345,0.3,0.050365,0.45,1.5751,12.0,0.10240945531464833
a18-il,xf-a18-il-200000,200000.0,0.07345,0.3,0.050365,0.45,1.3349,9.0,0.10693067150635213
a18-il,xf-a18-il-200000-n5,200000.0,0.07345,0.3,0.050365,0.45,1.3375,9.25,0.09432059227921735
a18-il,xf-a18-il-50000,50000.0,0.07345,0.3,0.050365,0.45,1.2563,8.0,0.10921038937541713
a18-il,xf-a18-il-50000-n5,50000.0,0.07345,0.3,0.050365,0.45,1.2566,9.0,0.10306094726898196
a18-il,xf-a18-il-500000,500000.0,0.07345,0.3,0.050365,0.45,1.3976,9.5,0.09670915435020117
a18-il,xf-a18-il-500000-n5,500000.0,0.07345,0.3,0.050365,0.45,1.4402,10.5,0.097511275300867
a18sm-il,xf-a18sm-il-100000,100000.0,0.07283,0.271,0.03842,0.493,1.3009,9.5,0.11627340031729244
a18sm-il,xf-a18sm-il-100000-n5,100000.0,0.07283,0.271,0.03842,0.493,1.3245,10.25,0.10774819672131147
a18sm-il,xf-a18sm-il-1000000,1000000.0,0.07283,0.271,0.03842,0.493,1.5371,12.75,0.10347928537972564
a18sm-il,xf-a18sm-il-1000000-n5,1000000.0,0.07283,0.271,0.03842,0.493,1.6597,14.5,0.1048237493793165
a18sm-il,xf-a18sm-il-200000,200000.0,0.07283,0.271,0.03842,0.493,1.3524,10.0,0.11107995769434167
a18sm-il,xf-a18sm-il-200000-n5,200000.0,0.07283,0.271,0.03842,0.493,1.3775,11.0,0.1024188260179799
a18sm-il,xf-a18sm-il-50000,50000.0,0.07283,0.271,0.03842,0.493,1.2711,9.0,0.11836234796404024
a18sm-il,xf-a18sm-il-50000-n5,50000.0,0.07283,0.271,0.03842,0.493,1.2709,10.0,0.11046557377049179
a18sm-il,xf-a18sm-il-500000,500000.0,0.07283,0.271,0.03842,0.493,1.4323,11.0,0.1029306821787414
a18sm-il,xf-a18sm-il-500000-n5,500000.0,0.07283,0.271,0.03842,0.493,1.5036,12.75,0.10226521417239555
a63a108c-il,xf-a63a108c-il-100000,100000.0,0.07735,0.3,50.0,50.0,0.842,8.0,0.10663457431457433
a63a108c-il,xf-a63a108c-il-100000-n5,100000.0,0.07735,0.3,50.0,50.0,0.966,9.5,0.10538531993654154
a63a108c-il,xf-a63a108c-il-1000000,1000000.0,0.07735,0.3,50.0,50.0,1.4171,14.0,0.11239202374975439
a63a108c-il,xf-a63a108c-il-1000000-n5,1000000.0,0.07735,0.3,50.0,50.0,1.5273,15.25,0.11329692673956236
a63a108c-il,xf-a63a108c-il-200000,200000.0,0.07735,0.3,50.0,50.0,0.9422,9.5,0.1074878082992402
a63a108c-il,xf-a63a108c-il-200000-n5,200000.0,0.07735,0.3,50.0,50.0,1.1062,11.0,0.1081574372132805
a63a108c-il,xf-a63a108c-il-50000,50000.0,0.07735,0.3,50.0,50.0,0.7824,7.5,0.10487524592807615
a63a108c-il,xf-a63a108c-il-50000-n5,50000.0,0.07735,0.3,50.0,50.0,0.8602,8.75,0.10146835232008888
a63a108c-il,xf-a63a108c-il-500000,500000.0,0.07735,0.3,50.0,50.0,1.2015,12.0,0.11005091485986251
a63a108c-il,xf-a63a108c-il-500000-n5,500000.0,0.07735,0.3,50.0,50.0,1.3298,13.25,0.11111381643965709
ag03-il,xf-ag03-il-100000,100000.0,0.046692,0.065,0.051173,0.281,1.088,9.25,0.10662710590520254
ag03-il,xf-ag03-il-100000-n5,100000.0,0.046692,0.065,0.051173,0.281,1.1352,10.25,0.10537350870614204
ag03-il,xf-ag03-il-1000000,1000000.0,0.046692,0.065,0.051173,0.281,1.3785,12.25,0.10703172098341908
ag03-il,xf-ag03-il-1000000-n5,1000000.0,0.046692,0.065,0.051173,0.281,1.4698,13.25,0.10785468420023289
ag03-il,xf-ag03-il-200000,200000.0,0.046692,0.065,0.051173,0.281,1.149,10.25,0.10683198307773667
ag03-il,xf-ag03-il-200000-n5,200000.0,0.046692,0.065,0.051173,0.281,1.2193,11.0,0.10624353252247491
ag03-il,xf-ag03-il-50000,50000.0,0.046692,0.065,0.051173,0.281,1.0089,8.5,0.10258835399427854
ag03-il,xf-ag03-il-50000-n5,50000.0,0.046692,0.065,0.051173,0.281,1.0721,9.5,0.1042607297726071
ag03-il,xf-ag03-il-500000,500000.0,0.046692,0.065,0.051173,0.281,1.2897,11.25,0.10789039432443914
ag03-il,xf-ag03-il-500000-n5,500000.0,0.046692,0.065,0.051173,0.281,1.3681,12.25,0.10727103120042307
ag04-il,xf-ag04-il-100000,100000.0,0.051408,0.076,0.04818,0.281,1.0345,9.0,0.10374015864621897
ag04-il,xf-ag04-il-100000-n5,100000.0,0.051408,0.076,0.04818,0.281,1.0853,9.75,0.10468268640930724
ag04-il,xf-ag04-il-1000000,1000000.0,0.051408,0.076,0.04818,0.281,1.3072,11.25,0.10848654674346477
ag04-il,xf-ag04-il-1000000-n5,1000000.0,0.051408,0.076,0.04818,0.281,1.4334,12.75,0.1084882613894451
ag04-il,xf-ag04-il-200000,200000.0,0.051408,0.076,0.04818,0.281,1.0925,9.5,0.10538250661025912
ag04-il,xf-ag04-il-200000-n5,200000.0,0.051408,0.076,0.04818,0.281,1.1616,10.5,0.10602984664198838
ag04-il,xf-ag04-il-50000,50000.0,0.051408,0.076,0.04818,0.281,0.9861,8.5,0.105470227936879
ag04-il,xf-ag04-il-50000-n5,50000.0,0.051408,0.076,0.04818,0.281,1.0342,9.5,0.10318519301956637
ag04-il,xf-ag04-il-500000,500000.0,0.051408,0.076,0.04818,0.281,1.185,10.5,0.10709514690579203
ag04-il,xf-ag04-il-500000-n5,500000.0,0.051408,0.076,0.04818,0.281,1.3076,11.75,0.10761222256866688
ag08-il,xf-ag08-il-100000,100000.0,0.051518999999999995,0.095,0.045408,0.28,1.0149,8.75,0.09983272342675835
ag08-il,xf-ag08-il-100000-n5,100000.0,0.051518999999999995,0.095,0.045408,0.28,1.065,9.5,0.10384291909042835
ag08-il,xf-ag08-il-1000000,1000000.0,0.051518999999999995,0.095,0.045408,0.28,1.2103,10.5,0.1078835325224749
ag08-il,xf-ag08-il-1000000-n5,1000000.0,0.051518999999999995,0.095,0.045408,0.28,1.3882,12.5,0.10818754098360658
ag08-il,xf-ag08-il-200000,200000.0,0.051518999999999995,0.095,0.045408,0.28,1.0476,9.0,0.1044424228952487
ag08-il,xf-ag08-il-200000-n5,200000.0,0.051518999999999995,0.095,0.045408,0.28,1.1289,10.0,0.10530720253833951
ag08-il,xf-ag08-il-50000,50000.0,0.051518999999999995,0.095,0.045408,0.28,0.964,8.25,0.1061695038297087
ag08-il,xf-ag08-il-50000-n5,50000.0,0.051518999999999995,0.095,0.045408,0.28,1.0115,9.0,0.10189283976731892
ag08-il,xf-ag08-il-500000,500000.0,0.051518999999999995,0.095,0.045408,0.28,1.1148,9.5,0.10559341085100285
ag08-il,xf-ag08-il-500000-n5,500000.0,0.051518999999999995,0.095,0.045408,0.28,1.2413,11.0,0.10712026188610525
ag09-il,xf-ag09-il-100000,100000.0,0.04588,0.1,0.041657,0.258,0.983,8.5,0.10530563228644377
ag09-il,xf-ag09-il-100000-n5,100000.0,0.04588,0.1,0.041657,0.258,1.0385,9.25,0.10243314648334215
ag09-il,xf-ag09-il-1000000,1000000.0,0.04588,0.1,0.041657,0.258,1.1842,10.0,0.10736407653147219
ag09-il,xf-ag09-il-1000000-n5,1000000.0,0.04588,0.1,0.041657,0.258,1.3758,12.5,0.10835773664727658
ag09-il,xf-ag09-il-200000,200000.0,0.04588,0.1,0.041657,0.258,0.996,8.0,0.10917777777777782
ag09-il,xf-ag09-il-200000-n5,200000.0,0.04588,0.1,0.041657,0.258,1.0975,9.75,0.10491493518443544
ag09-il,xf-ag09-il-50000,50000.0,0.04588,0.1,0.041657,0.258,0.9534,8.0,0.11093951908076777
ag09-il,xf-ag09-il-50000-n5,50000.0,0.04588,0.1,0.041657,0.258,0.9872,8.75,0.10023519830777369
ag09-il,xf-ag09-il-500000,500000.0,0.04588,0.1,0.041657,0.258,1.0815,9.0,0.10305307593307589
ag09-il,xf-ag09-il-500000-n5,500000.0,0.04588,0.1,0.041657,0.258,1.2344,11.0,0.10702972563900325
ag10-il,xf-ag10-il-100000,100000.0,0.045365,0.1,0.039188,0.234,0.9751,8.25,0.10489523516564646
ag10-il,xf-ag10-il-1000000,1000000.0,0.045365,0.1,0.039188,0.234,1.2365,11.0,0.10880852459016398
ag10-il,xf-ag10-il-1000000-n5,1000000.0,0.045365,0.1,0.039188,0.234,1.4146,13.0,0.1094383712321523
ag10-il,xf-ag10-il-200000,200000.0,0.045365,0.1,0.039188,0.234,1.008,8.5,0.10372603156049094
ag10-il,xf-ag10-il-200000-n5,200000.0,0.045365,0.1,0.039188,0.234,1.1218,10.0,0.10595597260851504
ag10-il,xf-ag10-il-50000,50000.0,0.045365,0.1,0.039188,0.234,0.9227,7.75,0.11288343732189902
ag10-il,xf-ag10-il-50000-n5,50000.0,0.045365,0.1,0.039188,0.234,0.9818,8.75,0.10220794665184774
ag10-il,xf-ag10-il-500000,500000.0,0.045365,0.1,0.039188,0.234,1.1252,9.75,0.10676556319407722
ag10-il,xf-ag10-il-500000-n5,500000.0,0.045365,0.1,0.039188,0.234,1.268,11.5,0.10819225806451611
ag11-il,xf-ag11-il-100000,100000.0,0.052006,0.114,0.051884,0.272,1.1387,9.5,0.1090191433104178
ag11-il,xf-ag11-il-100000-n5,100000.0,0.052006,0.114,0.051884,0.272,1.2292,11.25,0.10671743205988034
ag11-il,xf-ag11-il-1000000,1000000.0,0.052006,0.114,0.051884,0.272,1.5705,14.0,0.10966441200482525
ag11-il,xf-ag11-il-1000000-n5,1000000.0,0.052006,0.114,0.051884,0.272,1.5939,14.25,0.1082915590014751
ag11-il,xf-ag11-il-200000,200000.0,0.052006,0.114,0.051884,0.272,1.257,11.0,0.10784305384624752
ag11-il,xf-ag11-il-200000-n5,200000.0,0.052006,0.114,0.051884,0.272,1.3379,12.0,0.1073467160232681
ag11-il,xf-ag11-il-50000,50000.0,0.052006,0.114,0.051884,0.272,1.0425,8.75,0.10666163831554343
ag11-il,xf-ag11-il-50000-n5,50000.0,0.052006,0.114,0.051884,0.272,1.1276,10.25,0.10622314119513489
