airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,sharpness_rating,radius_rating
ag03-il,xf-ag03-il-100000,100000.0,0.046692,0.065,0.051173,0.281,1.088,9.25,92.9669071683562,7.033092831643795
ag03-il,xf-ag03-il-1000000,1000000.0,0.046692,0.065,0.051173,0.281,1.3785,12.25,92.9669071683562,7.033092831643795
ag03-il,xf-ag03-il-200000,200000.0,0.046692,0.065,0.051173,0.281,1.149,10.25,92.9669071683562,7.033092831643795
ag03-il,xf-ag03-il-50000,50000.0,0.046692,0.065,0.051173,0.281,1.0089,8.5,92.9669071683562,7.033092831643795
ag03-il,xf-ag03-il-500000,500000.0,0.046692,0.065,0.051173,0.281,1.2897,11.25,92.9669071683562,7.033092831643795
ag04-il,xf-ag04-il-100000,100000.0,0.051408,0.076,0.04818,0.281,1.0345,9.0,92.25654852460498,7.743451475395019
ag04-il,xf-ag04-il-1000000,1000000.0,0.051408,0.076,0.04818,0.281,1.3072,11.25,92.25654852460498,7.743451475395019
ag04-il,xf-ag04-il-200000,200000.0,0.051408,0.076,0.04818,0.281,1.0925,9.5,92.25654852460498,7.743451475395019
ag04-il,xf-ag04-il-50000,50000.0,0.051408,0.076,0.04818,0.281,0.9861,8.5,92.25654852460498,7.743451475395019
ag04-il,xf-ag04-il-500000,500000.0,0.051408,0.076,0.04818,0.281,1.185,10.5,92.25654852460498,7.743451475395019
ag08-il,xf-ag08-il-100000,100000.0,0.0515189999999999,0.095,0.045408,0.28,1.0149,8.75,92.2398288873157,7.760171112684312
ag08-il,xf-ag08-il-1000000,1000000.0,0.0515189999999999,0.095,0.045408,0.28,1.2103,10.5,92.2398288873157,7.760171112684312
ag08-il,xf-ag08-il-200000,200000.0,0.0515189999999999,0.095,0.045408,0.28,1.0476,9.0,92.2398288873157,7.760171112684312
ag08-il,xf-ag08-il-50000,50000.0,0.0515189999999999,0.095,0.045408,0.28,0.964,8.25,92.2398288873157,7.760171112684312
ag08-il,xf-ag08-il-500000,500000.0,0.0515189999999999,0.095,0.045408,0.28,1.1148,9.5,92.2398288873157,7.760171112684312
ag09-il,xf-ag09-il-100000,100000.0,0.04588,0.1,0.041657,0.258,0.983,8.5,93.0892165870852,6.910783412914789
ag09-il,xf-ag09-il-1000000,1000000.0,0.04588,0.1,0.041657,0.258,1.1842,10.0,93.0892165870852,6.910783412914789
ag09-il,xf-ag09-il-200000,200000.0,0.04588,0.1,0.041657,0.258,0.996,8.0,93.0892165870852,6.910783412914789
ag09-il,xf-ag09-il-50000,50000.0,0.04588,0.1,0.041657,0.258,0.9534,8.0,93.0892165870852,6.910783412914789
ag09-il,xf-ag09-il-500000,500000.0,0.04588,0.1,0.041657,0.258,1.0815,9.0,93.0892165870852,6.910783412914789
ag10-il,xf-ag10-il-100000,100000.0,0.045365,0.1,0.039188,0.234,0.9751,8.25,93.16678967901308,6.83321032098691
ag10-il,xf-ag10-il-1000000,1000000.0,0.045365,0.1,0.039188,0.234,1.2365,11.0,93.16678967901308,6.83321032098691
ag10-il,xf-ag10-il-200000,200000.0,0.045365,0.1,0.039188,0.234,1.008,8.5,93.16678967901308,6.83321032098691
ag10-il,xf-ag10-il-50000,50000.0,0.045365,0.1,0.039188,0.234,0.9227,7.75,93.16678967901308,6.83321032098691
ag10-il,xf-ag10-il-500000,500000.0,0.045365,0.1,0.039188,0.234,1.1252,9.75,93.16678967901308,6.83321032098691
ag11-il,xf-ag11-il-100000,100000.0,0.052006,0.114,0.051884,0.272,1.1387,9.5,92.16647336155086,7.83352663844914
ag11-il,xf-ag11-il-1000000,1000000.0,0.052006,0.114,0.051884,0.272,1.5705,14.0,92.16647336155086,7.83352663844914
ag11-il,xf-ag11-il-200000,200000.0,0.052006,0.114,0.051884,0.272,1.257,11.0,92.16647336155086,7.83352663844914
ag11-il,xf-ag11-il-50000,50000.0,0.052006,0.114,0.051884,0.272,1.0425,8.75,92.16647336155086,7.83352663844914
ag11-il,xf-ag11-il-500000,500000.0,0.052006,0.114,0.051884,0.272,1.4697,13.25,92.16647336155086,7.83352663844914
ag12-il,xf-ag12-il-100000,100000.0,0.052729,0.4,0.047413,0.276,1.0529,9.0,92.0575697781259,7.942430221874106
ag12-il,xf-ag12-il-1000000,1000000.0,0.052729,0.4,0.047413,0.276,1.2782,10.5,92.0575697781259,7.942430221874106
ag12-il,xf-ag12-il-200000,200000.0,0.052729,0.4,0.047413,0.276,1.0896,9.0,92.0575697781259,7.942430221874106
ag12-il,xf-ag12-il-50000,50000.0,0.052729,0.4,0.047413,0.276,1.0077,8.25,92.0575697781259,7.942430221874106
ag12-il,xf-ag12-il-500000,500000.0,0.052729,0.4,0.047413,0.276,1.1927,10.25,92.0575697781259,7.942430221874106
ag13-il,xf-ag13-il-100000,100000.0,0.044076,0.459,0.046648,0.281,1.0584,8.75,93.36094834987723,6.639051650122759
ag13-il,xf-ag13-il-1000000,1000000.0,0.044076,0.459,0.046648,0.281,1.2732,10.75,93.36094834987723,6.639051650122759
ag13-il,xf-ag13-il-200000,200000.0,0.044076,0.459,0.046648,0.281,1.0971,9.0,93.36094834987723,6.639051650122759
ag13-il,xf-ag13-il-50000,50000.0,0.044076,0.459,0.046648,0.281,1.0017,8.0,93.36094834987723,6.639051650122759
ag13-il,xf-ag13-il-500000,500000.0,0.044076,0.459,0.046648,0.281,1.2109,10.25,93.36094834987723,6.639051650122759
ag14-il,xf-ag14-il-100000,100000.0,0.028703,0.598,0.045683,0.27,1.064,8.75,95.67654280076519,4.323457199234812
ag14-il,xf-ag14-il-1000000,1000000.0,0.028703,0.598,0.045683,0.27,1.2704,10.5,95.67654280076519,4.323457199234812
ag14-il,xf-ag14-il-200000,200000.0,0.028703,0.598,0.045683,0.27,1.1054,9.0,95.67654280076519,4.323457199234812
ag14-il,xf-ag14-il-50000,50000.0,0.028703,0.598,0.045683,0.27,1.0083,8.0,95.67654280076519,4.323457199234812
ag14-il,xf-ag14-il-500000,500000.0,0.028703,0.598,0.045683,0.27,1.21,10.0,95.67654280076519,4.323457199234812
ag16-il,xf-ag16-il-100000,100000.0,0.067527,0.33,0.051522,0.289,1.0775,9.0,89.82858606094383,10.171413939056167
ag16-il,xf-ag16-il-1000000,1000000.0,0.067527,0.33,0.051522,0.289,1.3017,10.5,89.82858606094383,10.171413939056167
ag16-il,xf-ag16-il-200000,200000.0,0.067527,0.33,0.051522,0.289,1.112,9.25,89.82858606094383,10.171413939056167
ag16-il,xf-ag16-il-50000,50000.0,0.067527,0.33,0.051522,0.289,1.0299,8.25,89.82858606094383,10.171413939056167
ag16-il,xf-ag16-il-500000,500000.0,0.067527,0.33,0.051522,0.289,1.2111,10.25,89.82858606094383,10.171413939056167
ag17-il,xf-ag17-il-100000,100000.0,0.0638389999999999,0.275,0.049911,0.289,1.0805,9.0,90.38409977556525,9.615900224434753
ag17-il,xf-ag17-il-1000000,1000000.0,0.0638389999999999,0.275,0.049911,0.289,1.2965,11.0,90.38409977556525,9.615900224434753
ag17-il,xf-ag17-il-200000,200000.0,0.0638389999999999,0.275,0.049911,0.289,1.119,9.25,90.38409977556525,9.615900224434753
ag17-il,xf-ag17-il-50000,50000.0,0.0638389999999999,0.275,0.049911,0.289,1.0363,8.25,90.38409977556525,9.615900224434753
ag17-il,xf-ag17-il-500000,500000.0,0.0638389999999999,0.275,0.049911,0.289,1.229,10.25,90.38409977556525,9.615900224434753
ag18-il,xf-ag18-il-100000,100000.0,0.058521,0.234,0.048262,0.276,1.0844,8.75,91.18513609182244,8.814863908177559
ag18-il,xf-ag18-il-1000000,1000000.0,0.058521,0.234,0.048262,0.276,1.2969,10.75,91.18513609182244,8.814863908177559
ag18-il,xf-ag18-il-200000,200000.0,0.058521,0.234,0.048262,0.276,1.1279,9.0,91.18513609182244,8.814863908177559
ag18-il,xf-ag18-il-50000,50000.0,0.058521,0.234,0.048262,0.276,1.0297,8.25,91.18513609182244,8.814863908177559
ag18-il,xf-ag18-il-500000,500000.0,0.058521,0.234,0.048262,0.276,1.2109,9.75,91.18513609182244,8.814863908177559
